fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;name
6.9;0.19;0.35;1.7;0.036000000000000004;33.0;101.0;0.99315;3.21;0.54;10.8;7;w0850
8.2;0.38;0.49;13.6;0.042;58.0;166.0;0.99855;3.1;0.54;9.4;5;w0851
6.9;0.18;0.36;1.3;0.036000000000000004;40.0;117.0;0.9934;3.27;0.95;9.5;7;w0852
7.7;0.34;0.58;11.1;0.039;41.0;151.0;0.9978;3.06;0.49;8.6;5;w0853
6.9;0.18;0.36;1.3;0.036000000000000004;40.0;117.0;0.9934;3.27;0.95;9.5;7;w0854
7.4;0.2;0.35;2.1;0.038;30.0;116.0;0.9949;3.49;0.77;10.3;7;w0855
8.2;0.38;0.49;13.6;0.042;58.0;166.0;0.99855;3.1;0.54;9.4;5;w0856
8.2;0.4;0.48;13.7;0.042;59.0;169.0;0.9986;3.1;0.52;9.4;5;w0857
6.7;0.22;0.39;10.2;0.038;60.0;149.0;0.99725;3.17;0.54;10.0;7;w0858
6.6;0.3;0.3;4.8;0.17;60.0;166.0;0.9946;3.18;0.47;9.4;5;w0859
8.1;0.27;0.35;1.7;0.03;38.0;103.0;0.99255;3.22;0.63;10.4;8;w0860
7.3;0.25;0.42;14.2;0.041;57.0;182.0;0.9996;3.29;0.75;9.1;7;w0861
4.8;0.34;0.0;6.5;0.028;33.0;163.0;0.9939;3.36;0.61;9.9;6;w0862
6.2;0.28;0.33;1.7;0.029;24.0;111.0;0.99;3.24;0.5;12.1;6;w0863
4.8;0.33;0.0;6.5;0.028;34.0;163.0;0.9937;3.35;0.61;9.9;5;w0864
6.1;0.27;0.33;2.2;0.021;26.0;117.0;0.9886;3.12;0.3;12.5;6;w0865
6.9;0.18;0.36;1.3;0.036000000000000004;40.0;117.0;0.9934;3.27;0.95;9.5;7;w0866
7.8;0.18;0.46;12.6;0.042;41.0;143.0;1.0;3.24;0.76;8.5;8;w0867
7.3;0.28;0.42;14.4;0.04;49.0;173.0;0.9994;3.28;0.82;9.0;7;w0868
7.3;0.24;0.29;1.2;0.037000000000000005;37.0;97.0;0.9926;3.19;0.7;10.1;6;w0869
6.0;0.45;0.65;9.7;0.08;11.0;159.0;0.9956;3.04;0.48;9.4;5;w0870
7.7;0.34;0.58;11.1;0.039;41.0;151.0;0.9978;3.06;0.49;8.6;5;w0871
6.3;0.26;0.21;4.0;0.03;24.0;125.0;0.9915;3.06;0.34;10.7;6;w0872
10.3;0.17;0.47;1.4;0.037000000000000005;5.0;33.0;0.9939;2.89;0.28;9.6;3;w0873
7.7;0.15;0.29;1.3;0.029;10.0;64.0;0.9932;3.35;0.39;10.1;5;w0874
7.1;0.21;0.32;2.2;0.037000000000000005;28.0;141.0;0.993;3.2;0.57;10.0;7;w0875
6.9;0.36;0.34;4.2;0.018000000000000002;57.0;119.0;0.9898;3.28;0.36;12.7;9;w0876
6.0;0.28;0.34;1.6;0.119;33.0;104.0;0.9921;3.19;0.38;10.2;6;w0877
6.2;0.16;0.54;1.4;0.126;37.0;110.0;0.9932;3.23;0.37;8.9;6;w0878
6.9;0.12;0.36;2.2;0.037000000000000005;18.0;111.0;0.9919;3.41;0.82;11.9;8;w0879
7.1;0.21;0.32;2.2;0.037000000000000005;28.0;141.0;0.993;3.2;0.57;10.0;7;w0880
8.8;0.36;0.44;1.9;0.04;9.0;121.0;0.9953;3.19;0.48;9.9;6;w0881
7.4;0.26;0.43;6.0;0.022;22.0;125.0;0.9928;3.13;0.55;11.5;6;w0882
7.4;0.26;0.43;6.0;0.022;22.0;125.0;0.9928;3.13;0.55;11.5;6;w0883
6.8;0.23;0.29;12.2;0.035;38.0;236.0;0.9976;3.35;0.52;9.8;6;w0884
6.1;0.34;0.27;2.6;0.024;20.0;105.0;0.9906;3.4;0.67;12.2;7;w0885
7.3;0.26;0.31;1.6;0.04;39.0;173.0;0.9918;3.19;0.51;11.4;6;w0886
6.5;0.3;0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;7;w0887
7.3;0.26;0.31;1.6;0.04;39.0;173.0;0.9918;3.19;0.51;11.4;6;w0888
6.5;0.3;0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;7;w0889
5.0;0.31;0.0;6.4;0.046;43.0;166.0;0.994;3.3;0.63;9.9;6;w0890
5.8;0.26;0.18;1.2;0.031;40.0;114.0;0.9908;3.42;0.4;11.0;7;w0891
5.9;0.26;0.3;1.0;0.036000000000000004;38.0;114.0;0.9928;3.58;0.48;9.4;5;w0892
7.0;0.31;0.29;1.4;0.037000000000000005;33.0;128.0;0.9896;3.12;0.36;12.2;7;w0893
5.8;0.26;0.18;1.2;0.031;40.0;114.0;0.9908;3.42;0.4;11.0;7;w0894
5.6;0.19;0.39;1.1;0.043;17.0;67.0;0.9918;3.23;0.53;10.3;6;w0895
6.8;0.18;0.28;8.7;0.047;52.0;242.0;0.9952;3.22;0.53;10.5;6;w0896
7.0;0.29;0.26;1.6;0.044;12.0;87.0;0.9923;3.08;0.46;10.5;6;w0897
6.6;0.26;0.29;1.4;0.039;13.0;67.0;0.9915;3.05;0.49;10.9;6;w0898
6.8;0.18;0.28;8.5;0.047;52.0;242.0;0.9952;3.22;0.53;10.5;6;w0899
6.6;0.2;0.38;7.9;0.052000000000000005;30.0;145.0;0.9947;3.32;0.56;11.0;7;w0900
8.0;0.29;0.29;13.2;0.046;26.0;113.0;0.9983;3.25;0.37;9.7;6;w0901
6.1;0.28;0.35;12.8;0.048;63.0;229.0;0.9975;3.08;0.4;8.9;5;w0902
5.9;0.31;0.3;7.7;0.047;60.0;206.0;0.995;3.2;0.39;9.6;6;w0903
6.9;0.21;0.28;2.4;0.056;49.0;159.0;0.9944;3.02;0.47;8.8;8;w0904
8.4;0.19;0.42;1.6;0.047;9.0;101.0;0.994;3.06;0.65;11.1;4;w0905
8.3;0.27;0.45;1.3;0.048;8.0;72.0;0.9944;3.08;0.61;10.3;4;w0906
7.1;0.25;0.39;2.1;0.036000000000000004;30.0;124.0;0.9908;3.28;0.43;12.2;8;w0907
8.0;0.23;0.37;9.6;0.054000000000000006;23.0;159.0;0.99795;3.32;0.47;9.8;4;w0908
7.5;0.24;0.31;13.0;0.049;46.0;217.0;0.9985;3.08;0.53;8.8;5;w0909
6.3;0.33;0.2;5.8;0.04;24.0;144.0;0.99425;3.15;0.63;9.9;5;w0910
6.2;0.33;0.19;5.6;0.042;22.0;143.0;0.99425;3.15;0.63;9.9;5;w0911
6.3;0.34;0.19;5.8;0.041;22.0;145.0;0.9943;3.15;0.63;9.9;5;w0912
5.8;0.29;0.05;0.8;0.038;11.0;30.0;0.9924;3.36;0.35;9.2;5;w0913
8.0;0.32;0.26;1.2;0.05;11.5;88.0;0.9946;3.24;0.37;9.5;4;w0914
5.6;0.29;0.05;0.8;0.038;11.0;30.0;0.9924;3.36;0.35;9.2;5;w0915
7.4;0.13;0.39;4.7;0.042;36.0;137.0;0.995;3.36;0.56;10.3;7;w0916
7.7;0.3;0.32;1.6;0.037000000000000005;23.0;124.0;0.9919;2.93;0.33;11.0;6;w0917
7.0;0.24;0.34;1.4;0.031;27.0;107.0;0.99;3.06;0.39;11.9;6;w0918
8.6;0.18;0.4;1.1;0.04;20.0;107.0;0.9923;2.94;0.32;10.2;7;w0919
7.0;0.11;0.32;4.6;0.057;59.0;144.0;0.9956;3.55;0.44;9.4;7;w0920
7.7;0.32;0.62;10.6;0.036000000000000004;56.0;153.0;0.9978;3.13;0.44;8.9;6;w0921
7.7;0.32;0.62;10.6;0.036000000000000004;56.0;153.0;0.9978;3.13;0.44;8.9;6;w0922
6.5;0.26;0.27;12.9;0.044;69.0;215.0;0.9967;3.17;0.43;10.0;6;w0923
7.9;0.28;0.41;2.0;0.044;50.0;152.0;0.9934;3.45;0.49;10.7;8;w0924
6.3;0.27;0.23;2.9;0.047;13.0;100.0;0.9936;3.28;0.43;9.8;5;w0925
5.4;0.595;0.1;2.8;0.042;26.0;80.0;0.9932;3.36;0.38;9.3;5;w0926
6.7;0.25;0.33;2.9;0.057;52.0;173.0;0.9934;3.02;0.48;9.5;7;w0927
6.5;0.25;0.35;12.0;0.055;47.0;179.0;0.998;3.58;0.47;10.0;5;w0928
6.1;0.36;0.58;15.0;0.044;42.0;115.0;0.9978;3.15;0.51;9.0;5;w0929
7.7;0.17;0.52;5.9;0.017;21.0;84.0;0.9929;3.14;0.4;11.9;7;w0930
6.4;0.26;0.43;12.6;0.033;64.0;230.0;0.9974;3.08;0.38;8.9;5;w0931
6.5;0.26;0.28;12.5;0.046;80.0;225.0;0.99685;3.18;0.41;10.0;6;w0932
5.9;0.29;0.33;7.4;0.037000000000000005;58.0;205.0;0.99495;3.26;0.41;9.6;5;w0933
6.2;0.28;0.43;13.0;0.039;64.0;233.0;0.99745;3.08;0.38;8.9;5;w0934
6.1;0.27;0.44;6.7;0.041;61.0;230.0;0.99505;3.12;0.4;8.9;5;w0935
6.4;0.43;0.32;1.4;0.048;10.0;67.0;0.992;3.08;0.41;11.4;5;w0936
6.1;0.36;0.58;15.0;0.044;42.0;115.0;0.9978;3.15;0.51;9.0;5;w0937
6.2;0.35;0.29;7.3;0.044;56.0;244.0;0.9956;3.36;0.55;10.0;6;w0938
7.7;0.24;0.29;15.3;0.044;39.0;194.0;0.9982;3.06;0.47;9.6;7;w0939
6.2;0.34;0.28;7.5;0.034;40.0;197.0;0.99485;3.14;0.6;9.7;5;w0940
6.3;0.27;0.46;11.75;0.037000000000000005;61.0;212.0;0.9971;3.25;0.53;9.5;6;w0941
5.4;0.415;0.19;1.6;0.039;27.0;88.0;0.99265;3.54;0.41;10.0;7;w0942
6.9;0.48;0.36;3.5;0.03;31.0;135.0;0.9904;3.14;0.38;12.2;7;w0943
6.5;0.18;0.33;8.0;0.051;16.0;131.0;0.9965;3.28;0.44;8.7;7;w0944
6.7;0.15;0.29;5.0;0.058;28.0;105.0;0.9946;3.52;0.44;10.2;7;w0945
8.2;0.345;1.0;18.2;0.047;55.0;205.0;0.99965;2.96;0.43;9.6;5;w0946
8.5;0.16;0.35;1.6;0.039;24.0;147.0;0.9935;2.96;0.36;10.0;5;w0947
6.8;0.705;0.25;3.2;0.048;10.0;57.0;0.996;3.36;0.52;9.5;4;w0948
7.3;0.25;0.39;6.4;0.034;8.0;84.0;0.9942;3.18;0.46;11.5;5;w0949
7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5;w0950
7.6;0.22;0.34;9.7;0.035;26.0;143.0;0.9965;3.08;0.49;9.8;6;w0951
6.5;0.17;0.33;1.4;0.028;14.0;99.0;0.9928;3.23;0.55;10.1;6;w0952
8.2;0.23;0.37;1.3;0.042;39.0;117.0;0.9928;2.99;0.36;10.0;5;w0953
7.6;0.22;0.34;9.7;0.035;26.0;143.0;0.9965;3.08;0.49;9.8;6;w0954
7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5;w0955
7.5;0.32;0.26;1.8;0.042;13.0;133.0;0.9938;3.07;0.38;9.5;5;w0956
6.6;0.23;0.32;0.9;0.041;25.0;79.0;0.9926;3.39;0.54;10.2;7;w0957
6.6;0.2;0.32;1.1;0.039;25.0;78.0;0.9926;3.39;0.54;10.2;7;w0958
7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6;w0959
7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6;w0960
8.0;0.42;0.36;5.0;0.037000000000000005;34.0;101.0;0.992;3.13;0.57;12.3;7;w0961
7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6;w0962
6.1;0.19;0.25;4.0;0.023;23.0;112.0;0.9923;3.37;0.51;11.6;6;w0963
5.9;0.26;0.21;12.5;0.034;36.0;152.0;0.9972;3.28;0.43;9.5;6;w0964
8.3;0.23;0.43;3.2;0.035;14.0;101.0;0.9928;3.15;0.36;11.5;5;w0965
6.5;0.34;0.28;1.8;0.041;43.0;188.0;0.9928;3.13;0.37;9.6;6;w0966
6.8;0.22;0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6;w0967
6.5;0.08;0.33;1.9;0.028;23.0;93.0;0.991;3.34;0.7;12.0;7;w0968
5.5;0.42;0.09;1.6;0.019;18.0;68.0;0.9906;3.33;0.51;11.4;7;w0969
5.1;0.42;0.01;1.5;0.017;25.0;102.0;0.9894;3.38;0.36;12.3;7;w0970
6.0;0.27;0.19;1.7;0.02;24.0;110.0;0.9898;3.32;0.47;12.6;7;w0971
6.8;0.22;0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6;w0972
6.5;0.08;0.33;1.9;0.028;23.0;93.0;0.991;3.34;0.7;12.0;7;w0973
7.1;0.13;0.38;1.8;0.046;14.0;114.0;0.9925;3.32;0.9;11.7;6;w0974
7.6;0.3;0.25;4.3;0.054000000000000006;22.0;111.0;0.9956;3.12;0.49;9.2;5;w0975
6.6;0.13;0.3;4.9;0.058;47.0;131.0;0.9946;3.51;0.45;10.3;6;w0976
6.5;0.14;0.33;7.6;0.05;53.0;189.0;0.9966;3.25;0.49;8.6;5;w0977
7.7;0.28;0.33;6.7;0.037000000000000005;32.0;155.0;0.9951;3.39;0.62;10.7;7;w0978
6.0;0.2;0.71;1.6;0.15;10.0;54.0;0.9927;3.12;0.47;9.8;5;w0979
6.0;0.19;0.71;1.5;0.152;9.0;55.0;0.9927;3.12;0.46;9.8;6;w0980
7.7;0.28;0.33;6.7;0.037000000000000005;32.0;155.0;0.9951;3.39;0.62;10.7;7;w0981
5.1;0.39;0.21;1.7;0.027000000000000003;15.0;72.0;0.9894;3.5;0.45;12.5;6;w0982
5.7;0.36;0.34;4.2;0.026;21.0;77.0;0.9907;3.41;0.45;11.9;6;w0983
6.9;0.19;0.33;1.6;0.043;63.0;149.0;0.9925;3.44;0.52;10.8;5;w0984
6.0;0.41;0.21;1.9;0.05;29.0;122.0;0.9928;3.42;0.52;10.5;6;w0985
7.4;0.28;0.3;5.3;0.054000000000000006;44.0;161.0;0.9941;3.12;0.48;10.3;6;w0986
7.4;0.3;0.3;5.2;0.053;45.0;163.0;0.9941;3.12;0.45;10.3;6;w0987
6.9;0.19;0.33;1.6;0.043;63.0;149.0;0.9925;3.44;0.52;10.8;5;w0988
7.7;0.28;0.39;8.9;0.036000000000000004;8.0;117.0;0.9935;3.06;0.38;12.0;7;w0989
8.6;0.16;0.38;3.4;0.04;41.0;143.0;0.9932;2.95;0.39;10.2;6;w0990
8.2;0.26;0.44;1.3;0.046;7.0;69.0;0.9944;3.14;0.62;10.2;4;w0991
6.5;0.25;0.27;15.2;0.049;75.0;217.0;0.9972;3.19;0.39;9.9;5;w0992
7.0;0.24;0.18;1.3;0.046;9.0;62.0;0.994;3.38;0.47;10.1;4;w0993
8.6;0.18;0.36;1.8;0.04;24.0;187.0;0.9956;3.25;0.55;9.5;6;w0994
7.8;0.27;0.34;1.6;0.046;27.0;154.0;0.9927;3.05;0.45;10.5;6;w0995
6.0;0.26;0.34;1.3;0.046;6.0;29.0;0.9924;3.29;0.63;10.4;5;w0996
6.1;0.24;0.27;9.8;0.062;33.0;152.0;0.9966;3.31;0.47;9.5;6;w0997
8.0;0.24;0.3;17.45;0.056;43.0;184.0;0.9997;3.05;0.5;9.2;6;w0998
7.6;0.21;0.6;2.1;0.046;47.0;165.0;0.9936;3.05;0.54;10.1;7;w0999
8.0;0.19;0.36;1.8;0.05;16.0;84.0;0.9936;3.15;0.45;9.8;7;w1000
6.4;0.28;0.41;6.8;0.045;61.0;216.0;0.9952;3.09;0.46;9.4;5;w1001
6.4;0.28;0.43;7.1;0.045;60.0;221.0;0.9952;3.09;0.45;9.4;6;w1002
6.9;0.24;0.39;1.3;0.063;18.0;136.0;0.9928;3.31;0.48;10.4;7;w1003
5.8;0.36;0.26;3.3;0.038;40.0;153.0;0.9911;3.34;0.55;11.3;6;w1004
6.6;0.18;0.28;3.3;0.044;18.0;91.0;0.993;3.42;0.64;10.8;6;w1005
5.8;0.36;0.26;3.3;0.038;40.0;153.0;0.9911;3.34;0.55;11.3;6;w1006
5.1;0.52;0.06;2.7;0.052000000000000005;30.0;79.0;0.9932;3.32;0.43;9.3;5;w1007
6.6;0.22;0.37;1.2;0.059;45.0;199.0;0.993;3.37;0.55;10.3;7;w1008
8.3;0.15;0.39;1.3;0.055;32.0;146.0;0.993;3.08;0.39;10.5;6;w1009
7.6;0.16;0.44;1.4;0.043;25.0;109.0;0.9932;3.11;0.75;10.3;6;w1010
7.7;0.16;0.41;1.7;0.048;60.0;173.0;0.9932;3.24;0.66;11.2;7;w1011
8.3;0.16;0.48;1.7;0.057;31.0;98.0;0.9943;3.15;0.41;10.3;6;w1012
6.2;0.25;0.47;11.6;0.048;62.0;210.0;0.9968;3.19;0.5;9.5;5;w1013
6.1;0.16;0.27;12.6;0.064;63.0;162.0;0.9994;3.66;0.43;8.9;5;w1014
7.6;0.39;0.22;2.8;0.036000000000000004;19.0;113.0;0.9926;3.03;0.29;10.2;5;w1015
6.8;0.37;0.47;11.2;0.071;44.0;136.0;0.9968;2.98;0.88;9.2;5;w1016
7.6;0.16;0.44;1.4;0.043;25.0;109.0;0.9932;3.11;0.75;10.3;6;w1017
7.1;0.18;0.42;1.4;0.045;47.0;157.0;0.9916;2.95;0.31;10.5;6;w1018
8.3;0.14;0.26;1.5;0.049;56.0;189.0;0.9946;3.21;0.62;9.5;6;w1019
8.6;0.2;0.42;1.5;0.041;35.0;125.0;0.9925;3.11;0.49;11.4;7;w1020
8.6;0.2;0.42;1.5;0.041;35.0;125.0;0.9925;3.11;0.49;11.4;7;w1021
6.8;0.19;0.32;7.05;0.019;54.0;188.0;0.9935;3.25;0.37;11.1;8;w1022
7.6;0.19;0.38;10.6;0.06;48.0;174.0;0.9962;3.13;0.38;10.5;6;w1023
6.8;0.34;0.74;2.8;0.08800000000000001;23.0;185.0;0.9928;3.51;0.7;12.0;6;w1024
6.2;0.15;0.46;1.6;0.039;38.0;123.0;0.993;3.38;0.51;9.7;6;w1025
6.6;0.14;0.44;1.6;0.042;47.0;140.0;0.993;3.32;0.51;10.2;6;w1026
8.0;0.55;0.17;8.2;0.04;13.0;60.0;0.9956;3.09;0.3;9.5;4;w1027
7.0;0.24;0.35;1.5;0.052000000000000005;51.0;128.0;0.9941;3.41;0.59;10.4;7;w1028
6.3;0.6;0.44;11.0;0.05;50.0;245.0;0.9972;3.19;0.57;9.3;4;w1029
7.1;0.2;0.41;2.1;0.054000000000000006;24.0;166.0;0.9948;3.48;0.62;10.5;6;w1030
6.2;0.34;0.29;7.6;0.047;45.0;232.0;0.9955;3.35;0.62;10.0;6;w1031
7.1;0.3;0.36;6.8;0.055;44.5;234.0;0.9972;3.49;0.64;10.2;6;w1032
7.1;0.3;0.36;6.8;0.055;44.5;234.0;0.9972;3.49;0.64;10.2;6;w1033
7.9;0.64;0.46;10.6;0.244;33.0;227.0;0.9983;2.87;0.74;9.1;3;w1034
8.8;0.17;0.38;1.8;0.04;39.0;148.0;0.9942;3.16;0.67;10.2;6;w1035
7.5;0.17;0.37;1.5;0.06;18.0;75.0;0.9936;3.54;0.88;10.7;5;w1036
7.1;0.47;0.24;6.0;0.044;11.0;77.0;0.9956;3.21;0.56;9.7;5;w1037
7.1;0.15;0.34;5.3;0.034;33.0;104.0;0.9953;3.37;0.52;9.3;7;w1038
7.5;0.17;0.34;1.4;0.035;13.0;102.0;0.9918;3.05;0.74;11.0;5;w1039
8.2;0.68;0.3;2.1;0.047;17.0;138.0;0.995;3.22;0.71;10.8;4;w1040
7.7;0.275;0.3;1.0;0.039;19.0;75.0;0.992;3.01;0.56;10.7;5;w1041
7.3;0.49;0.32;5.2;0.043;18.0;104.0;0.9952;3.24;0.45;10.7;4;w1042
7.5;0.33;0.48;19.45;0.048;55.0;243.0;1.001;2.95;0.4;8.8;5;w1043
7.2;0.21;0.37;1.6;0.049;23.0;94.0;0.9924;3.16;0.48;10.9;7;w1044
7.3;0.15;0.4;2.0;0.05;24.0;92.0;0.9932;3.14;0.45;10.5;5;w1045
6.5;0.19;0.1;1.3;0.046;23.0;107.0;0.9937;3.29;0.45;10.0;5;w1046
7.0;0.31;0.52;1.7;0.029;5.0;61.0;0.9918;3.07;0.43;10.4;5;w1047
8.3;0.4;0.38;1.1;0.038;15.0;75.0;0.9934;3.03;0.43;9.2;5;w1048
6.1;0.37;0.36;4.7;0.035;36.0;116.0;0.991;3.31;0.62;12.6;6;w1049
7.3;0.24;0.34;7.5;0.048;29.0;152.0;0.9962;3.1;0.54;9.0;5;w1050
6.9;0.21;0.81;1.1;0.13699999999999998;52.0;123.0;0.9932;3.03;0.39;9.2;6;w1051
7.6;0.29;0.42;1.3;0.035;18.0;86.0;0.9908;2.99;0.39;11.3;5;w1052
9.4;0.29;0.55;2.2;0.05;17.0;119.0;0.9962;3.12;0.69;10.3;4;w1053
7.0;0.31;0.52;1.7;0.029;5.0;61.0;0.9918;3.07;0.43;10.4;5;w1054
8.6;0.26;0.41;2.2;0.049;29.0;111.0;0.9941;2.96;0.44;10.0;5;w1055
7.5;0.21;0.34;1.2;0.06;26.0;111.0;0.9931;3.51;0.47;10.7;6;w1056
7.2;0.51;0.24;10.0;0.093;35.0;197.0;0.9981;3.41;0.47;9.0;5;w1057
7.5;0.21;0.34;1.2;0.06;26.0;111.0;0.9931;3.51;0.47;10.7;6;w1058
5.3;0.3;0.2;1.1;0.077;48.0;166.0;0.9944;3.3;0.54;8.7;4;w1059
8.0;0.26;0.36;2.0;0.054000000000000006;30.0;121.0;0.992;3.09;0.72;11.6;7;w1060
7.0;0.21;0.28;7.5;0.07;45.0;185.0;0.9966;3.34;0.55;9.4;5;w1061
6.7;0.26;0.26;4.0;0.079;35.5;216.0;0.9956;3.31;0.68;9.5;5;w1062
6.7;0.26;0.26;4.1;0.073;36.0;202.0;0.9956;3.3;0.67;9.5;5;w1063
8.1;0.26;0.37;1.9;0.07200000000000001;48.0;159.0;0.9949;3.37;0.7;10.9;6;w1064
8.3;0.22;0.38;14.8;0.054000000000000006;32.0;126.0;1.0002;3.22;0.5;9.7;5;w1065
6.4;0.3;0.51;5.5;0.048;62.0;172.0;0.9942;3.08;0.45;9.1;6;w1066
7.5;0.19;0.34;2.6;0.037000000000000005;33.0;125.0;0.9923;3.1;0.49;11.1;7;w1067
8.8;0.33;0.44;6.35;0.024;9.0;87.0;0.9917;2.96;0.4;12.6;7;w1068
6.9;0.2;0.36;1.5;0.031;38.0;147.0;0.9931;3.35;0.56;11.0;6;w1069
8.0;0.37;0.32;1.6;0.04;32.0;166.0;0.992;3.0;0.55;11.3;7;w1070
8.3;0.22;0.38;14.8;0.054000000000000006;32.0;126.0;1.0002;3.22;0.5;9.7;5;w1071
8.2;0.29;0.33;9.1;0.036000000000000004;28.0;118.0;0.9953;2.96;0.4;10.9;7;w1072
7.7;0.34;0.3;8.0;0.048;25.0;192.0;0.9951;2.97;0.47;10.9;5;w1073
6.2;0.55;0.45;12.0;0.049;27.0;186.0;0.9974;3.17;0.5;9.3;6;w1074
6.4;0.4;0.19;3.2;0.033;28.0;124.0;0.9904;3.22;0.54;12.7;7;w1075
7.5;0.28;0.33;7.7;0.048;42.0;180.0;0.9974;3.37;0.59;10.1;6;w1076
7.8;0.26;0.44;1.3;0.037000000000000005;43.0;132.0;0.9944;3.18;0.65;10.0;5;w1077
6.5;0.26;0.34;16.3;0.051;56.0;197.0;1.0004;3.49;0.42;9.8;5;w1078
6.3;0.34;0.29;6.2;0.046;29.0;227.0;0.9952;3.29;0.53;10.1;6;w1079
6.8;0.15;0.33;4.7;0.059;31.0;118.0;0.9956;3.43;0.39;9.0;7;w1080
6.3;0.27;0.25;5.8;0.038;52.0;155.0;0.995;3.28;0.38;9.4;6;w1081
6.3;0.27;0.25;5.8;0.038;52.0;155.0;0.995;3.28;0.38;9.4;6;w1082
7.4;0.2;0.37;16.95;0.048;43.0;190.0;0.9995;3.03;0.42;9.2;6;w1083
6.3;0.23;0.21;5.1;0.035;29.0;142.0;0.9942;3.36;0.33;10.1;7;w1084
7.3;0.31;0.69;10.2;0.041;58.0;160.0;0.9977;3.06;0.45;8.6;5;w1085
5.2;0.24;0.45;3.8;0.027000000000000003;21.0;128.0;0.992;3.55;0.49;11.2;8;w1086
7.0;0.24;0.32;1.3;0.037000000000000005;39.0;123.0;0.992;3.17;0.42;11.2;8;w1087
7.4;0.2;0.37;16.95;0.048;43.0;190.0;0.9995;3.03;0.42;9.2;6;w1088
7.0;0.17;0.33;4.0;0.034;17.0;127.0;0.9934;3.19;0.39;10.6;7;w1089
8.3;0.21;0.58;17.1;0.049;62.0;213.0;1.0006;3.01;0.51;9.3;6;w1090
7.2;0.21;0.35;14.5;0.048;35.0;178.0;0.9982;3.05;0.47;8.9;6;w1091
7.1;0.21;0.4;1.2;0.069;24.0;156.0;0.9928;3.42;0.43;10.6;6;w1092
8.4;0.17;0.31;6.7;0.038;29.0;132.0;0.9945;3.1;0.32;10.6;7;w1093
7.4;0.24;0.31;8.4;0.045;52.0;183.0;0.9963;3.09;0.32;8.8;5;w1094
5.3;0.24;0.33;1.3;0.033;25.0;97.0;0.9906;3.59;0.38;11.0;8;w1095
6.5;0.28;0.26;8.8;0.04;44.0;139.0;0.9956;3.32;0.37;10.2;6;w1096
6.3;0.23;0.21;5.1;0.035;29.0;142.0;0.9942;3.36;0.33;10.1;7;w1097
6.5;0.29;0.25;10.6;0.039;32.0;120.0;0.9962;3.31;0.34;10.1;6;w1098
5.8;0.29;0.21;2.6;0.025;12.0;120.0;0.9894;3.39;0.79;14.0;7;w1099
6.3;0.27;0.25;5.8;0.038;52.0;155.0;0.995;3.28;0.38;9.4;6;w1100
6.3;0.17;0.42;2.8;0.028;45.0;107.0;0.9908;3.27;0.43;11.8;6;w1101
6.3;0.16;0.4;1.6;0.033;59.0;148.0;0.9914;3.44;0.53;11.4;5;w1102
7.9;0.29;0.39;6.7;0.036000000000000004;6.0;117.0;0.9938;3.12;0.42;10.7;5;w1103
7.3;0.31;0.69;10.2;0.041;58.0;160.0;0.9977;3.06;0.45;8.6;5;w1104
5.5;0.32;0.45;4.9;0.028;25.0;191.0;0.9922;3.51;0.49;11.5;7;w1105
5.2;0.24;0.45;3.8;0.027000000000000003;21.0;128.0;0.992;3.55;0.49;11.2;8;w1106
7.2;0.37;0.15;2.0;0.029;27.0;87.0;0.9903;3.3;0.59;12.6;7;w1107
6.1;0.29;0.27;1.7;0.024;13.0;76.0;0.9893;3.21;0.51;12.6;7;w1108
9.2;0.22;0.4;2.4;0.054000000000000006;18.0;151.0;0.9952;3.04;0.46;9.3;4;w1109
7.2;0.37;0.15;2.0;0.029;27.0;87.0;0.9903;3.3;0.59;12.6;7;w1110
8.0;0.18;0.37;1.3;0.04;15.0;96.0;0.9912;3.06;0.61;12.1;6;w1111
6.5;0.22;0.34;12.0;0.053;55.0;177.0;0.9983;3.52;0.44;9.9;6;w1112
7.4;0.18;0.4;1.6;0.047;22.0;102.0;0.9937;3.28;0.44;10.7;5;w1113
6.5;0.52;0.17;1.4;0.047;5.0;26.0;0.9932;3.26;0.32;10.0;4;w1114
7.0;0.15;0.38;2.2;0.047;33.0;96.0;0.9928;3.13;0.39;10.4;8;w1115
5.9;0.415;0.13;1.4;0.04;11.0;64.0;0.9922;3.29;0.52;10.5;5;w1116
8.1;0.45;0.34;8.3;0.037000000000000005;33.0;216.0;0.9976;3.31;0.64;9.7;5;w1117
5.8;0.415;0.13;1.4;0.04;11.0;64.0;0.9922;3.29;0.52;10.5;5;w1118
